Date,Location,Sex,Weight_kg,Moult_score,Year,Month
2020-03-08,Tussock,F,11.8,3,2020,Mar
2020-03-08,Tussock,F,13.8,3,2020,Mar
2020-03-08,Tussock,M,12.8,3,2020,Mar
2020-03-08,Tussock,M,13.8,3,2020,Mar
2020-03-08,Tussock,M,14.2,3,2020,Mar
2020-03-08,Tussock,F,14.5,3,2020,Mar
2020-03-08,Tussock,F,11.4,3,2020,Mar
2020-03-08,Tussock,M,13.4,3,2020,Mar
2020-03-08,Tussock,M,14,3,2020,Mar
2020-03-08,Tussock,M,13.8,3,2020,Mar
2020-03-08,Tussock,F,12.8,3,2020,Mar
2020-03-08,Tussock,M,15,3,2020,Mar
2020-03-08,Tussock,M,16,3,2020,Mar
2020-03-08,Tussock,M,14.6,3,2020,Mar
2020-03-08,Tussock,M,16,3,2020,Mar
2020-03-08,Tussock,F,10,3,2020,Mar
2020-03-08,Tussock,M,14.8,3,2020,Mar
2020-03-08,Tussock,M,14.2,3,2020,Mar
2020-03-08,Tussock,F,12.3,3,2020,Mar
2020-03-08,Tussock,M,14.6,3,2020,Mar
2020-03-08,Tussock,M,15.8,3,2020,Mar
2020-03-08,Tussock,F,13.4,3,2020,Mar
2020-03-08,Tussock,M,9.4,3,2020,Mar
2020-03-08,Tussock,F,16.3,3,2020,Mar
2020-03-08,Beach,F,11.4,3,2020,Mar
2020-03-08,Beach,F,12.8,3,2020,Mar
2020-03-08,Beach,F,15.2,3,2020,Mar
2020-03-08,Beach,F,6.4,3,2020,Mar
2020-03-08,Beach,M,14.4,3,2020,Mar
2020-03-08,Beach,M,14.4,3,2020,Mar
2020-03-08,Beach,M,10.8,3,2020,Mar
2020-03-08,Beach,M,12.6,3,2020,Mar
2020-03-08,Beach,M,15.2,3,2020,Mar
2020-03-08,Beach,F,11,3,2020,Mar
2020-03-08,Beach,F,14,3,2020,Mar
2020-03-08,Beach,M,11.4,2,2020,Mar
2020-03-08,Tussock,M,14,3,2020,Mar
2020-03-08,Tussock,M,14.5,3,2020,Mar
2020-03-08,Tussock,F,13.5,3,2020,Mar
2020-03-08,Tussock,F,12.5,3,2020,Mar
2020-03-08,Tussock,F,13.8,3,2020,Mar
2020-03-08,Tussock,M,18,3,2020,Mar
2020-03-08,Tussock,M,18.5,3,2020,Mar
2020-03-08,Tussock,M,15,3,2020,Mar
2020-03-08,Tussock,M,14.8,3,2020,Mar
2020-03-08,Tussock,M,14.3,3,2020,Mar
2020-03-08,Tussock,F,17.5,3,2020,Mar
2020-03-08,Tussock,M,13.6,3,2020,Mar
2020-03-08,Tussock,F,11,3,2020,Mar
2020-03-08,Tussock,M,15.8,3,2020,Mar
2020-03-08,Tussock,M,15.8,3,2020,Mar
2020-03-08,Tussock,M,16,3,2020,Mar
2020-03-08,Tussock,M,14.5,3,2020,Mar
2020-03-08,Tussock,F,11.8,2,2020,Mar
2020-03-08,Tussock,F,10,3,2020,Mar
2020-03-08,Tussock,F,12.5,3,2020,Mar
2020-03-08,Tussock,F,15.5,3,2020,Mar
2020-03-08,Tussock,M,14.3,3,2020,Mar
2020-03-08,Tussock,F,13.2,3,2020,Mar
2020-03-08,Tussock,M,12.8,3,2020,Mar
2020-03-08,Beach,F,15,3,2020,Mar
2020-03-08,Beach,F,11.2,3,2020,Mar
2020-03-08,Beach,F,13,3,2020,Mar
2020-03-08,Beach,M,14,3,2020,Mar
2020-03-08,Beach,M,15,3,2020,Mar
2020-03-08,Beach,M,15.2,3,2020,Mar
2020-03-08,Beach,F,13,3,2020,Mar
2020-03-08,Beach,F,13.3,3,2020,Mar
2020-03-08,Beach,F,12.8,3,2020,Mar
2020-03-08,Beach,F,12.8,3,2020,Mar
2020-03-08,Beach,M,12.4,3,2020,Mar
2020-03-08,Beach,M,16,3,2020,Mar
2020-03-08,Beach,M,12.6,3,2020,Mar
2020-03-08,Beach,F,14,3,2020,Mar
2020-03-08,Beach,M,16.2,3,2020,Mar
2020-03-08,Beach,M,16.4,3,2020,Mar
2020-03-08,Beach,F,12.8,3,2020,Mar
2020-03-08,Beach,M,16.6,3,2020,Mar
2020-03-08,Beach,M,14.8,3,2020,Mar
2020-03-08,Beach,F,13.2,3,2020,Mar
2020-03-08,Beach,M,13.6,3,2020,Mar
2020-03-08,Beach,M,15,3,2020,Mar
2020-03-08,Beach,M,15.6,3,2020,Mar
2020-03-08,Beach,M,14.4,3,2020,Mar
2020-03-08,Beach,M,19,3,2020,Mar
2020-03-08,Beach,F,12.5,3,2020,Mar
2020-03-08,Beach,M,15.4,3,2020,Mar
2020-03-08,Beach,F,13.8,3,2020,Mar
2020-03-08,Beach,M,12.4,3,2020,Mar
2020-03-08,Beach,M,19.8,3,2020,Mar
2020-03-08,Beach,M,11.8,3,2020,Mar
2020-03-08,Beach,F,12.4,3,2020,Mar
2020-03-08,Beach,F,15.2,3,2020,Mar
2020-03-08,Beach,F,13.6,3,2020,Mar
2020-03-08,Beach,F,13,3,2020,Mar
2020-03-08,Beach,F,14.5,3,2020,Mar
2020-03-08,Beach,M,13.8,3,2020,Mar
2020-03-08,Beach,M,13.8,3,2020,Mar
2020-03-08,Tussock,M,12.2,3,2020,Mar
2020-03-08,Tussock,M,15.4,3,2020,Mar
2020-02-08,Beach,F,13,0,2020,Feb
2020-02-08,Beach,M,10.25,1,2020,Feb
2020-02-08,Beach,F,9.3,1,2020,Feb
2020-02-08,Beach,F,11.5,1,2020,Feb
2020-02-08,Beach,F,10.5,1,2020,Feb
2020-02-08,Beach,M,10.75,0,2020,Feb
2020-02-08,Beach,F,11.75,1,2020,Feb
2020-02-08,Tussock,F,6.5,1,2020,Feb
2020-02-08,Beach,F,12.2,0,2020,Feb
2020-02-08,Beach,F,14.4,1,2020,Feb
2020-02-08,Beach,M,8.8,0,2020,Feb
2020-02-08,Beach,M,12.5,0,2020,Feb
2020-02-08,Beach,F,10.8,1,2020,Feb
2020-02-08,Beach,F,10.6,0,2020,Feb
2020-02-08,Beach,F,12.1,0,2020,Feb
2020-02-08,Beach,F,8,0,2020,Feb
2020-02-08,Beach,F,10.7,3,2020,Feb
2020-02-08,Beach,F,11.5,0,2020,Feb
2020-02-08,Beach,M,10.8,0,2020,Feb
2020-02-08,Beach,M,8,0,2020,Feb
2020-02-08,Beach,F,9.6,1,2020,Feb
2020-02-08,Beach,M,14,2,2020,Feb
2020-02-08,Beach,F,11.2,3,2020,Feb
2020-02-08,Beach,M,6.8,0,2020,Feb
2020-02-08,Tussock,F,9.6,1,2020,Feb
2020-02-08,Tussock,M,11.8,1,2020,Feb
2020-02-08,Tussock,M,11.2,1,2020,Feb
2020-02-08,Tussock,M,12.5,2,2020,Feb
2020-02-08,Tussock,M,8.9,1,2020,Feb
2020-02-08,Tussock,M,13.1,2,2020,Feb
2020-02-08,Tussock,M,11.6,1,2020,Feb
2020-02-08,Tussock,M,12,2,2020,Feb
2020-02-08,Tussock,M,8.9,0,2020,Feb
2020-02-08,Tussock,M,13.4,1,2020,Feb
2020-02-08,Tussock,F,11.2,0,2020,Feb
2020-02-08,Tussock,F,12.2,3,2020,Feb
2020-02-08,Tussock,F,10.5,1,2020,Feb
2020-02-08,Tussock,F,8.9,0,2020,Feb
2020-02-08,Tussock,M,11.2,1,2020,Feb
2020-02-08,Tussock,M,14.6,1,2020,Feb
2020-02-08,Tussock,M,11.1,1,2020,Feb
2020-02-08,Tussock,F,10.4,1,2020,Feb
2020-02-08,Tussock,F,10.8,1,2020,Feb
2020-02-08,Tussock,F,11,2,2020,Feb
2020-02-08,Tussock,F,10.5,2,2020,Feb
2020-02-08,Tussock,F,11,2,2020,Feb
2020-02-08,Tussock,M,13.9,1,2020,Feb
2020-02-08,Tussock,M,10.2,1,2020,Feb
2020-02-08,Beach,F,13,1,2020,Feb
2020-02-08,Beach,F,9.4,0,2020,Feb
2020-02-08,Beach,M,16,1,2020,Feb
