Station,Date,Year,Month,Day_Night,Krill_per_1m2,Krill_per_1m2_log
ake2008sars16,2008-01-15,2008,1,night,0.116,0.04766419460155998
ake2008sars17,2008-01-15,2008,1,day,0,0
ake2008sars22,2008-01-15,2008,1,day,1.454,0.3898745583909854
ake2008sars23,2008-01-15,2008,1,day,38.784,1.5997084462241684
ake2008sars24,2008-01-15,2008,1,day,305.411,2.486304352192778
ake2008sars25,2008-02-14,2008,2,day,186.117,2.2721132459222484
ake2008sars28,2008-02-14,2008,2,day,13.822,1.1709068089307477
ake2008sars30,2008-02-14,2008,2,night,20.908,1.3406027322567475
ake2008sars36,2008-02-14,2008,2,day,0,0
ake2008sars37,2008-02-14,2008,2,night,0,0
ake2008sars38,2008-02-14,2008,2,night,0.004,0.0017337128090005314
ake2008sars4,2008-01-15,2008,1,day,0.22,0.08635983067474821
ake2008sars41,2008-02-14,2008,2,day,13.763,1.1691746197537434
ake2008sars42,2008-02-14,2008,2,day,0.09,0.03742649794062367
ake2008sars46,2008-03-14,2008,3,day,458.825,2.6625925795189342
ake2008sars47,2008-03-14,2008,3,day,529.482,2.7246706522650714
ake2008sars56,2008-03-14,2008,3,day,0.886,0.27554168840130955
ake2008sars59,2008-03-14,2008,3,day,0,0
ake2008sars60,2008-03-14,2008,3,day,0,0
ake2008sars8,2008-01-15,2008,1,day,0.289,0.11025291735340301
ake2008sars9,2008-01-15,2008,1,day,0.125,0.05115252244738129
aml1990feb1,1990-02-10,1990,2,NA,1.292,0.3602146132953523
aml1990feb10,1990-02-10,1990,2,NA,0,0
aml1990feb11,1990-02-10,1990,2,NA,0,0
aml1990feb12,1990-02-10,1990,2,NA,0,0
aml1990feb13,1990-02-10,1990,2,NA,0,0
aml1990feb14,1990-02-10,1990,2,NA,0,0
aml1990feb15,1990-02-10,1990,2,NA,7.752,0.9421073089893555
aml1990feb16,1990-02-10,1990,2,NA,1.312,0.3639878297484915
aml1990feb17,1990-02-10,1990,2,NA,0,0
aml1990feb18,1990-02-10,1990,2,NA,1.292,0.3602146132953523
aml1990feb19,1990-02-10,1990,2,NA,5.168,0.7901443650429005
aml1990feb2,1990-02-10,1990,2,NA,0,0
aml1990feb20,1990-02-24,1990,2,NA,0,0
aml1990feb21,1990-02-24,1990,2,NA,1.456,0.39022836246913006
aml1990feb22,1990-02-24,1990,2,NA,0,0
aml1990feb23,1990-02-24,1990,2,NA,0,0
aml1990feb24,1990-02-24,1990,2,NA,0,0
aml1990feb25,1990-02-24,1990,2,NA,46.58,1.6774244377012475
