year,day,month,running_day,hour,temp,pressure,wind_speed,wind_direction,humidity,delta_t,station_id
2018,1,1,1,0,-29.5,629,5.1,247,60.9,NA,ag4201801q3h
2018,1,1,1,300,-27.4,628.9,5.8,236,62,NA,ag4201801q3h
2018,1,1,1,600,-25.5,628.8,5.5,228,64,NA,ag4201801q3h
2018,1,1,1,900,-24.9,629.1,5.8,219,63,NA,ag4201801q3h
2018,1,1,1,1200,-25,629.5,3.9,230,61,NA,ag4201801q3h
2018,1,1,1,1500,-27.5,629.7,3.4,242,64,NA,ag4201801q3h
2018,1,1,1,1800,-30.3,629.7,3.3,259,64,NA,ag4201801q3h
2018,1,1,1,2100,-30.1,630.1,3.8,243,66.6,NA,ag4201801q3h
2018,2,1,2,0,-28.8,630.4,5.1,238,62,NA,ag4201801q3h
2018,2,1,2,300,-26.4,630.5,4.9,235,64,NA,ag4201801q3h
2018,2,1,2,600,-24.2,630.7,5.5,230,65,NA,ag4201801q3h
2018,2,1,2,900,-23.5,631,5.4,233,60.9,NA,ag4201801q3h
2018,2,1,2,1200,-23.8,631.5,3.5,243,61,NA,ag4201801q3h
2018,2,1,2,1500,-26.6,631.6,4.4,262,64,NA,ag4201801q3h
2018,2,1,2,1800,-29.1,631.8,3.6,262,64,NA,ag4201801q3h
2018,2,1,2,2100,-29.1,632.3,4.4,250,64,NA,ag4201801q3h
2018,3,1,3,0,-27.8,632.6,5.4,248,61.2,NA,ag4201801q3h
2018,3,1,3,300,-25.8,632.9,5.4,241,62,NA,ag4201801q3h
2018,3,1,3,600,-24,633,5.9,237,67,NA,ag4201801q3h
2018,3,1,3,900,-23.2,633.3,5.6,241,62,NA,ag4201801q3h
2018,3,1,3,1200,-23.7,633.7,4.4,254,60.9,NA,ag4201801q3h
2018,3,1,3,1500,-26.4,633.4,4.4,264,68,NA,ag4201801q3h
2018,3,1,3,1800,-28.6,633.2,4.5,263,65,NA,ag4201801q3h
2018,3,1,3,2100,-28.6,633.2,5.3,260,61,NA,ag4201801q3h
2018,4,1,4,0,-27.2,633.1,5.8,257,56,NA,ag4201801q3h
2018,4,1,4,300,-25.5,632.4,7.5,260,62,NA,ag4201801q3h
2018,4,1,4,600,-23.9,631.9,7.8,260,61,NA,ag4201801q3h
2018,4,1,4,900,-22.9,631.7,8.1,259,63,NA,ag4201801q3h
2018,4,1,4,1200,-23.6,630.9,8.4,267,60,NA,ag4201801q3h
2018,4,1,4,1500,-23.9,630.3,9.4,252,65.4,NA,ag4201801q3h
2018,4,1,4,1800,-25.1,630.6,7.9,242,68,NA,ag4201801q3h
2018,4,1,4,2100,-26,631.4,6.9,238,65,NA,ag4201801q3h
2018,5,1,5,0,-25.5,632,7.4,232,64,NA,ag4201801q3h
2018,5,1,5,300,-23.2,632.4,7.9,223,65,NA,ag4201801q3h
2018,5,1,5,600,-21.7,632.7,6.9,223,67.3,NA,ag4201801q3h
2018,5,1,5,900,-21.4,633.2,6.8,224,65,NA,ag4201801q3h
2018,5,1,5,1200,-21.7,633.1,5.9,224,67,NA,ag4201801q3h
2018,5,1,5,1500,-22.3,633.2,5.2,231,68,NA,ag4201801q3h
2018,5,1,5,1800,-26.1,633,5.1,256,65,NA,ag4201801q3h
2018,5,1,5,2100,-28.7,633,5.1,260,62,NA,ag4201801q3h
2018,6,1,6,0,-27.3,632.7,6.2,250,61,NA,ag4201801q3h
2018,6,1,6,300,-25.9,632.1,7.2,246,62,NA,ag4201801q3h
2018,6,1,6,600,-24.3,631.7,8.3,237,64,NA,ag4201801q3h
2018,6,1,6,900,-23.7,631.9,6.6,232,62,NA,ag4201801q3h
2018,6,1,6,1200,-24,631.5,4.7,250,60.7,NA,ag4201801q3h
