team,cooking_skill,fishing_skill,swimming,cold_tolerance,working_with_animals,remote_location,parka_color,team_flag,distance_mi
University of Arizona,5,1,Yes,3,TRUE,1,Black,Leopard Seal,8800.00
University of Arizona,1,2,No,4,TRUE,3,Black,Orca,8275.00
University of Arizona,4,3,Yes,4,TRUE,4,Black,Leopard Seal,8791.00
University of Arizona,3,1,Yes,4,TRUE,4,Blue,Leopard Seal,8218.69
University of Arizona,1,1,Yes,1,TRUE,3,Black,Leopard Seal,8000.00
University of Arizona,3,1,Yes,4,TRUE,2,White,Emperor Penguin,9000.00
University of Arizona,5,3,Yes,3,TRUE,2,Blue,Orca,9000.00
University of Arizona,1,1,Yes,3,TRUE,3,Orange,Emperor Penguin,8223.00
University of Arizona,5,3,Yes,4,TRUE,3,Black,Orca,8243.00
University of Arizona,3,1,Yes,4,TRUE,3,Orange,Emperor Penguin,10000.00
University of Arizona,3,1,I can dog paddle,2,TRUE,3,Orange,Emperor Penguin,10000.00
University of Arizona,4,3,Yes,3,TRUE,5,Orange,Leopard Seal,8757.00
University of Arizona,3,3,Yes,4,TRUE,2,Blue,Emperor Penguin,8774.00
University of Arizona,4,2,Yes,2,TRUE,3,Red,Leopard Seal,9000.00
University of Arizona,3,3,Yes,4,TRUE,4,White,Orca,10000.00
University of Arizona,3,5,Yes,5,TRUE,4,Red,Leopard Seal,10000.00
University of Arizona,3,2,Yes,3,TRUE,1,Black,Leopard Seal,9000.00
University of Arizona,4,5,Yes,5,TRUE,4,White,Leopard Seal,10000.00
University of Arizona,4,3,Yes,2,TRUE,3,White,Emperor Penguin,8356.00
University of Arizona,3,1,Yes,4,TRUE,3,Black,Emperor Penguin,8444.30
University of Arizona,3,3,Yes,2,TRUE,4,Blue,Leopard Seal,8529.00
University of Arizona,4,2,Yes,2,TRUE,4,Orange,Leopard Seal,8356.00
University of Arizona,3,1,Yes,4,TRUE,5,Black,Leopard Seal,9000.00
University of Arizona,3,1,Yes,4,TRUE,5,Blue,Leopard Seal,8279.00
University of Arizona,5,3,Yes,4,TRUE,5,Orange,Sea Spider,9000.00
University of Arizona,2,1,Yes,2,TRUE,2,Black,Emperor Penguin,8872.00
University of Arizona,3,1,I can dog paddle,3,TRUE,4,Black,Emperor Penguin,9000.00
University of Arizona,4,1,Yes,3,TRUE,4,Black,Emperor Penguin,8791.00
University of Arizona,4,3,Yes,3,TRUE,5,Blue,Leopard Seal,9143.00
University of Arizona,3,1,Yes,4,TRUE,3,Blue,Orca,8270.00
University of Arizona,4,1,Yes,3,TRUE,3,Black,Emperor Penguin,11000.00
University of Arizona,4,3,Yes,3,TRUE,3,Black,Emperor Penguin,11000.00
University of Arizona,3,2,Yes,2,TRUE,4,Blue,Leopard Seal,9000.00
University of Arizona,4,2,Yes,3,TRUE,3,Orange,Sea Spider,8355.00
