Species,Year,Colony,Num_Chicks,Dec_Temp_C
Gentoo penguin,1982,Johnson,NA,-13.1
Gentoo penguin,1982,Mountain Cwm,NA,-13.1
Gentoo penguin,1982,Natural Arch,NA,-13.1
Gentoo penguin,1982,Square Pond,NA,-13.1
Gentoo penguin,1983,Johnson,1880,-15.7
Gentoo penguin,1983,Mountain Cwm,767,-15.7
Gentoo penguin,1983,Natural Arch,829,-15.7
Gentoo penguin,1983,Square Pond,282,-15.7
Gentoo penguin,1984,Johnson,636,-12.8
Gentoo penguin,1984,Mountain Cwm,NA,-12.8
Gentoo penguin,1984,Natural Arch,NA,-12.8
Gentoo penguin,1984,Square Pond,227,-12.8
Gentoo penguin,1985,Johnson,636,-15.7
Gentoo penguin,1985,Mountain Cwm,622,-15.7
Gentoo penguin,1985,Natural Arch,925,-15.7
Gentoo penguin,1985,Square Pond,235,-15.7
Gentoo penguin,1986,Johnson,875,-14.3
Gentoo penguin,1986,Mountain Cwm,871,-14.3
Gentoo penguin,1986,Natural Arch,1109,-14.3
Gentoo penguin,1986,Square Pond,NA,-14.3
Gentoo penguin,1987,Johnson,962,-14
Gentoo penguin,1987,Mountain Cwm,714,-14
Gentoo penguin,1987,Natural Arch,1069,-14
Gentoo penguin,1987,Square Pond,311,-14
Gentoo penguin,1988,Johnson,963,NA
Gentoo penguin,1988,Mountain Cwm,654,NA
Gentoo penguin,1988,Natural Arch,864,NA
Gentoo penguin,1988,Square Pond,343,NA
Gentoo penguin,1989,Johnson,1164,NA
Gentoo penguin,1989,Mountain Cwm,1227,NA
Gentoo penguin,1989,Natural Arch,2032,NA
Gentoo penguin,1989,Square Pond,637,NA
Gentoo penguin,1990,Johnson,957,NA
Gentoo penguin,1990,Mountain Cwm,907,NA
Gentoo penguin,1990,Natural Arch,1249,NA
Gentoo penguin,1990,Square Pond,427,NA
Gentoo penguin,1991,Johnson,43,-11
Gentoo penguin,1991,Mountain Cwm,0,-11
Gentoo penguin,1991,Natural Arch,NA,-11
Gentoo penguin,1991,Square Pond,1,-11
Gentoo penguin,1992,Johnson,1108,NA
Gentoo penguin,1992,Mountain Cwm,1024,NA
Gentoo penguin,1992,Natural Arch,1815,NA
Gentoo penguin,1992,Square Pond,603,NA
Gentoo penguin,1993,Johnson,1530,NA
Gentoo penguin,1993,Mountain Cwm,1185,NA
Gentoo penguin,1993,Natural Arch,2067,NA
Gentoo penguin,1993,Square Pond,654,NA
Gentoo penguin,1994,Johnson,60,-11.8
Gentoo penguin,1994,Mountain Cwm,46,-11.8
Gentoo penguin,1994,Natural Arch,116,-11.8
Gentoo penguin,1994,Square Pond,0,-11.8
Gentoo penguin,1995,Johnson,538,-13.9
Gentoo penguin,1995,Mountain Cwm,593,-13.9
Gentoo penguin,1995,Natural Arch,1010,-13.9
Gentoo penguin,1995,Square Pond,368,-13.9
Gentoo penguin,1996,Johnson,965,NA
Gentoo penguin,1996,Mountain Cwm,867,NA
Gentoo penguin,1996,Natural Arch,1375,NA
Gentoo penguin,1996,Square Pond,587,NA
Gentoo penguin,1997,Johnson,754,-10.5
Gentoo penguin,1997,Mountain Cwm,768,-10.5
Gentoo penguin,1997,Natural Arch,944,-10.5
Gentoo penguin,1997,Square Pond,347,-10.5
Gentoo penguin,1998,Johnson,0,-14.5
Gentoo penguin,1998,Mountain Cwm,0,-14.5
Gentoo penguin,1998,Natural Arch,1,-14.5
Gentoo penguin,1998,Square Pond,2,-14.5
Gentoo penguin,1999,Johnson,1188,-14.3
Gentoo penguin,1999,Mountain Cwm,1038,-14.3
Gentoo penguin,1999,Natural Arch,1246,-14.3
Gentoo penguin,1999,Square Pond,392,-14.3
Gentoo penguin,2000,Johnson,414,NA
Gentoo penguin,2000,Mountain Cwm,468,NA
Gentoo penguin,2000,Natural Arch,551,NA
Gentoo penguin,2000,Square Pond,246,NA
Gentoo penguin,2001,Johnson,1097,NA
Gentoo penguin,2001,Mountain Cwm,886,NA
Gentoo penguin,2001,Natural Arch,1015,NA
Gentoo penguin,2001,Square Pond,413,NA
Gentoo penguin,2002,Johnson,881,-14.3
Gentoo penguin,2002,Mountain Cwm,979,-14.3
