tank_id,fish_id,soy_protein,avg_tank_temp,tank_category,day_30_weight
1,1,low,77.2,warm,333.6106175690433
1,2,low,77.2,warm,197.6585923211649
1,3,low,77.2,warm,315.1644914861746
1,4,low,77.2,warm,316.45631741175214
1,5,low,77.2,warm,89.43900926659401
1,6,low,77.2,warm,74.74951079185695
1,7,low,77.2,warm,141.90766008256654
1,8,low,77.2,warm,20.776089750079095
1,9,low,77.2,warm,57.29804042480697
1,10,low,77.2,warm,158.51860875934585
1,11,low,77.2,warm,407.1603973959428
1,12,low,77.2,warm,228.84233033977597
1,13,low,77.2,warm,53.87345935081504
1,14,low,77.2,warm,149.76637073725774
1,15,low,77.2,warm,243.6900693979908
1,16,low,77.2,warm,180.4203386391337
1,17,low,77.2,warm,221.13725111212105
1,18,low,77.2,warm,345.65956889182803
1,19,low,77.2,warm,409.8040643310828
1,20,low,77.2,warm,44.276707200479315
2,21,low,75.9,warm,103.47307138032384
2,22,low,75.9,warm,429.7328941304768
2,23,low,75.9,warm,454.2011650810936
2,24,low,75.9,warm,324.5817407020921
2,25,low,75.9,warm,48.78693638521642
2,26,low,75.9,warm,231.74072886691835
2,27,low,75.9,warm,298.7276197765019
2,28,low,75.9,warm,231.20780537707165
2,29,low,75.9,warm,288.1502280697556
2,30,low,75.9,warm,445.72139594175746
2,31,low,75.9,warm,461.67473280400213
2,32,low,75.9,warm,661.4368815221677
2,33,low,75.9,warm,347.5730391216198
2,34,low,75.9,warm,364.0466835216667
2,35,low,75.9,warm,296.51560663205515
2,36,low,75.9,warm,168.50820530294658
2,37,low,75.9,warm,372.3979918828627
2,38,low,75.9,warm,556.2855192028309
2,39,low,75.9,warm,422.4241793369304
2,40,low,75.9,warm,398.8104097294278
3,41,low,74.8,cold,374.3942684016244
3,42,low,74.8,cold,260.0273376266649
3,43,low,74.8,cold,542.5641436153345
3,44,low,74.8,cold,106.31637800020724
3,45,low,74.8,cold,619.3244951783757
3,46,low,74.8,cold,438.17008219953937
3,47,low,74.8,cold,175.1787799463124
3,48,low,74.8,cold,184.2035087532072
3,49,low,74.8,cold,171.49190963393406
3,50,low,74.8,cold,305.26667678414145
3,51,low,74.8,cold,143.81934874749663
3,52,low,74.8,cold,260.59502184336725
3,53,low,74.8,cold,648.4968141703889
3,54,low,74.8,cold,455.1312783889415
3,55,low,74.8,cold,325.42942325202006
3,56,low,74.8,cold,159.31445818958576
3,57,low,74.8,cold,273.50843267783137
3,58,low,74.8,cold,210.433748227723
3,59,low,74.8,cold,520.8240261078652
3,60,low,74.8,cold,327.2614192646592
4,61,low,72.4,cold,162.5649261419923
4,62,low,72.4,cold,155.56461751714878
4,63,low,72.4,cold,490.6415181766531
4,64,low,72.4,cold,149.41629594429742
4,65,low,72.4,cold,30.984955087978133
4,66,low,72.4,cold,19.104571744632384
4,67,low,72.4,cold,226.7480963387847
4,68,low,72.4,cold,412.5334825022905
4,69,low,72.4,cold,78.48427794927508
4,70,low,72.4,cold,265.6716919686114
4,71,low,72.4,cold,96.0617381620308
4,72,low,72.4,cold,846.0803309490809
4,73,low,72.4,cold,282.7254651151708
4,74,low,72.4,cold,204.84523549072568
4,75,low,72.4,cold,156.20248426173822
4,76,low,72.4,cold,221.05477793225137
4,77,low,72.4,cold,536.5897241032608
4,78,low,72.4,cold,50.84295148242042
4,79,low,72.4,cold,70.64230975964216
4,80,low,72.4,cold,217.03863825478533
5,81,medium,75.2,warm,256.3434972859717
5,82,medium,75.2,warm,476.9484417718482
5,83,medium,75.2,warm,975.1487485928278
5,84,medium,75.2,warm,35.20559409863053
5,85,medium,75.2,warm,621.9193163818587
5,86,medium,75.2,warm,246.1041972053008
5,87,medium,75.2,warm,474.7645747662
5,88,medium,75.2,warm,208.67902237999985
5,89,medium,75.2,warm,746.661594001299
5,90,medium,75.2,warm,428.347725425608
5,91,medium,75.2,warm,598.3934916341982
5,92,medium,75.2,warm,465.5757402998306
5,93,medium,75.2,warm,768.9319701037924
5,94,medium,75.2,warm,429.48169664870346
5,95,medium,75.2,warm,865.6434387946506
5,96,medium,75.2,warm,562.4390618500371
5,97,medium,75.2,warm,151.28844200500728
5,98,medium,75.2,warm,488.2089184164535
5,99,medium,75.2,warm,438.659411708936
5,100,medium,75.2,warm,388.45913682737694
6,101,medium,76,warm,335.63706233943606
6,102,medium,76,warm,94.13053506504052
6,103,medium,76,warm,189.8054599395894
6,104,medium,76,warm,332.47225543958126
6,105,medium,76,warm,1086.318106049926
6,106,medium,76,warm,489.54334548545233
6,107,medium,76,warm,675.831802039564
6,108,medium,76,warm,452.75342650174
6,109,medium,76,warm,580.2674780888397
