date,survey_area,bay,num_seals
2021-03-01,1,Emperor,9
2021-03-01,2,Emperor,9
2021-03-01,3,Emperor,9
2021-03-01,4,Emperor,11
2021-03-01,5,Emperor,9
2021-03-01,1,Emperor,11
2021-03-01,2,Emperor,11
2021-03-01,3,Emperor,11
2021-03-01,4,Emperor,11
2021-03-01,5,Emperor,10
2021-03-01,1,Sulzberger,2
2021-03-01,2,Sulzberger,3
2021-03-01,3,Sulzberger,1
2021-03-01,4,Sulzberger,1
2021-03-01,5,Sulzberger,3
2021-03-01,1,Sulzberger,2
2021-03-01,2,Sulzberger,2
2021-03-01,3,Sulzberger,4
2021-03-01,4,Sulzberger,2
2021-03-01,5,Sulzberger,0
2021-03-01,1,Iceberg,5
2021-03-01,2,Iceberg,8
2021-03-01,3,Iceberg,9
2021-03-01,4,Iceberg,3
2021-03-01,5,Iceberg,6
2021-03-02,1,Iceberg,5
2021-03-02,2,Iceberg,4
2021-03-02,3,Iceberg,8
2021-03-02,4,Iceberg,6
2021-03-02,5,Iceberg,5
2021-03-02,1,Hope,2
2021-03-02,2,Hope,3
2021-03-02,3,Hope,1
2021-03-02,4,Hope,3
2021-03-02,5,Hope,1
2021-03-02,1,Hope,3
2021-03-02,2,Hope,2
2021-03-02,3,Hope,3
2021-03-02,4,Hope,3
2021-03-02,5,Hope,1
2021-03-02,1,Emperor,9
2021-03-02,2,Emperor,9
2021-03-02,3,Emperor,10
2021-03-02,4,Emperor,12
2021-03-02,5,Emperor,10
2021-03-02,1,Emperor,10
2021-03-02,2,Emperor,9
2021-03-02,3,Emperor,10
2021-03-02,4,Emperor,10
2021-03-02,5,Emperor,9
2021-03-03,1,Sulzberger,1
2021-03-03,2,Sulzberger,3
2021-03-03,3,Sulzberger,1
2021-03-03,4,Sulzberger,4
2021-03-03,5,Sulzberger,1
2021-03-03,1,Sulzberger,2
2021-03-03,2,Sulzberger,1
2021-03-03,3,Sulzberger,3
2021-03-03,4,Sulzberger,3
2021-03-03,5,Sulzberger,3
2021-03-03,1,Iceberg,9
2021-03-03,2,Iceberg,8
2021-03-03,3,Iceberg,4
2021-03-03,4,Iceberg,4
2021-03-03,5,Iceberg,5
2021-03-03,1,Iceberg,4
2021-03-03,2,Iceberg,4
2021-03-03,3,Iceberg,10
2021-03-03,4,Iceberg,7
2021-03-03,5,Iceberg,7
2021-03-03,1,Hope,0
2021-03-03,2,Hope,1
2021-03-03,3,Hope,4
2021-03-03,4,Hope,2
2021-03-03,5,Hope,4
2021-03-04,1,Hope,1
2021-03-04,2,Hope,3
2021-03-04,3,Hope,2
2021-03-04,4,Hope,3
2021-03-04,5,Hope,0
2021-03-04,1,Emperor,11
2021-03-04,2,Emperor,9
2021-03-04,3,Emperor,12
2021-03-04,4,Emperor,10
2021-03-04,5,Emperor,10
2021-03-04,1,Emperor,11
2021-03-04,2,Emperor,9
2021-03-04,3,Emperor,11
2021-03-04,4,Emperor,8
2021-03-04,5,Emperor,9
2021-03-04,1,Sulzberger,1
2021-03-04,2,Sulzberger,2
2021-03-04,3,Sulzberger,1
2021-03-04,4,Sulzberger,3
2021-03-04,5,Sulzberger,2
2021-03-04,1,Sulzberger,1
2021-03-04,2,Sulzberger,2
2021-03-04,3,Sulzberger,2
2021-03-04,4,Sulzberger,1
2021-03-04,5,Sulzberger,2
2021-03-05,1,Iceberg,3
2021-03-05,2,Iceberg,6
2021-03-05,3,Iceberg,6
2021-03-05,4,Iceberg,6
2021-03-05,5,Iceberg,5
2021-03-05,1,Iceberg,8
2021-03-05,2,Iceberg,4
2021-03-05,3,Iceberg,10
2021-03-05,4,Iceberg,8
2021-03-05,5,Iceberg,7
2021-03-05,1,Hope,1
2021-03-05,2,Hope,1
2021-03-05,3,Hope,2
2021-03-05,4,Hope,1
2021-03-05,5,Hope,3
2021-03-05,1,Hope,2
2021-03-05,2,Hope,1
2021-03-05,3,Hope,3
2021-03-05,4,Hope,0
2021-03-05,5,Hope,3
2021-03-05,1,Emperor,9
2021-03-05,2,Emperor,9
2021-03-05,3,Emperor,9
2021-03-05,4,Emperor,10
2021-03-05,5,Emperor,10
2021-03-06,1,Emperor,11
2021-03-06,2,Emperor,10
2021-03-06,3,Emperor,11
2021-03-06,4,Emperor,7
2021-03-06,5,Emperor,10
2021-03-06,1,Sulzberger,3
2021-03-06,2,Sulzberger,2
2021-03-06,3,Sulzberger,2
2021-03-06,4,Sulzberger,1
2021-03-06,5,Sulzberger,3
2021-03-06,1,Sulzberger,2
2021-03-06,2,Sulzberger,2
2021-03-06,3,Sulzberger,2
2021-03-06,4,Sulzberger,4
2021-03-06,5,Sulzberger,2
2021-03-06,1,Iceberg,3
2021-03-06,2,Iceberg,9
2021-03-06,3,Iceberg,5
2021-03-06,4,Iceberg,4
2021-03-06,5,Iceberg,7
2021-03-06,1,Iceberg,2
2021-03-06,2,Iceberg,6
2021-03-06,3,Iceberg,7
2021-03-06,4,Iceberg,12
2021-03-06,5,Iceberg,7
2021-03-07,1,Hope,3
2021-03-07,2,Hope,3
2021-03-07,3,Hope,1
2021-03-07,4,Hope,2
2021-03-07,5,Hope,2
2021-03-07,1,Hope,3
